url_length,domain_length,num_dots,num_hyphens,num_digits,num_special_chars,has_https,has_ip,has_at_symbol,num_subdomains,label
47,26,3,0,0,0,0,0,0,1,0
43,36,5,0,3,0,0,0,0,4,1
25,10,1,0,1,0,1,0,0,0,1
34,18,1,0,1,0,1,0,0,0,1
35,19,3,0,0,0,1,0,0,2,0
53,35,2,3,0,0,0,0,0,0,1
46,20,2,0,4,0,1,0,0,1,0
28,11,2,0,0,0,1,0,0,1,0
28,15,2,0,0,0,1,0,0,1,0
62,19,2,0,3,5,1,0,0,1,0
45,14,4,1,11,0,0,1,0,2,1
62,12,1,2,6,4,1,0,0,0,1
40,18,3,0,0,0,1,0,0,1,0
31,15,2,0,0,0,1,0,0,1,0
28,13,1,0,1,0,0,0,0,0,1
43,36,5,0,1,0,0,0,0,4,1
45,14,4,1,11,0,0,1,0,2,1
56,17,2,0,4,5,0,0,0,1,0
34,20,2,0,0,0,1,0,0,1,0
40,14,2,0,4,0,1,0,0,1,0
44,32,2,1,2,1,0,0,1,1,1
51,11,1,0,4,5,1,0,0,0,0
48,13,4,1,10,0,0,1,0,2,1
28,15,2,0,0,0,1,0,0,1,0
21,13,2,0,0,0,1,0,0,1,0
60,11,1,2,7,4,0,0,0,0,1
69,16,1,2,6,4,0,0,0,0,1
48,30,2,3,4,0,0,0,0,0,1
30,16,2,0,0,0,1,0,0,1,0
47,35,2,1,0,1,0,0,1,1,1
47,14,4,1,11,0,0,1,0,2,1
52,16,2,0,4,5,1,0,0,1,0
74,14,2,0,4,5,0,0,0,1,0
33,21,2,1,0,1,0,0,1,1,1
49,30,2,3,0,0,1,0,0,0,1
45,13,4,1,10,0,1,1,0,2,1
47,12,2,0,0,0,1,0,0,1,0
43,25,2,3,1,0,0,0,0,0,1
64,16,2,0,4,7,1,0,0,1,0
48,13,4,1,10,0,0,1,0,2,1
50,32,2,3,1,0,0,0,0,0,1
24,16,2,0,0,0,1,0,0,1,0
43,36,5,0,2,0,0,0,0,4,1
62,12,1,2,8,4,0,0,0,0,1
25,12,2,0,0,0,1,0,0,1,0
27,10,1,0,0,0,1,0,0,0,0
40,28,2,1,0,1,0,0,1,1,1
44,26,2,3,1,0,0,0,0,0,1
24,11,1,0,0,0,0,0,0,0,0
23,10,1,0,1,0,0,0,0,0,1
44,25,2,3,0,0,1,0,0,0,1
51,17,2,0,0,0,0,0,0,1,0
33,19,2,0,0,0,1,0,0,1,0
40,28,2,1,0,1,0,0,1,1,1
54,36,2,3,2,0,0,0,0,0,1
48,13,4,1,10,0,1,1,0,2,1
26,18,2,0,0,0,1,0,0,1,0
22,15,2,0,0,0,0,0,0,1,0
49,14,2,0,0,0,1,0,0,1,0
28,12,2,0,0,0,1,0,0,1,0
32,15,2,0,0,0,1,0,0,1,0
24,11,2,0,0,0,1,0,0,1,0
42,35,5,0,0,0,0,0,0,4,1
40,33,5,0,1,0,0,0,0,4,1
45,12,4,1,9,0,0,1,0,2,1
61,11,1,2,6,4,1,0,0,0,1
25,16,2,0,0,0,1,0,0,1,0
42,35,5,0,3,0,0,0,0,4,1
26,11,1,0,1,0,0,0,0,0,1
28,11,2,0,0,0,1,0,0,1,0
50,32,2,3,3,0,0,0,0,0,1
