url_length,domain_length,num_dots,num_hyphens,num_digits,num_special_chars,has_https,has_ip,has_at_symbol,num_subdomains,label
57,8,1,2,9,4,0,0,0,0,1
24,15,2,0,0,0,1,0,0,1,0
45,32,2,1,2,1,1,0,1,1,1
42,21,2,0,0,0,1,0,0,1,0
43,36,5,0,3,0,0,0,0,4,1
34,17,2,0,0,0,1,0,0,1,0
29,15,2,0,0,0,1,0,0,1,0
46,33,2,1,0,1,1,0,1,1,1
44,13,2,0,4,5,1,0,0,1,0
25,12,2,0,0,0,1,0,0,1,0
32,19,2,0,0,0,1,0,0,1,0
27,12,1,0,1,0,1,0,0,0,1
51,7,1,0,4,5,1,0,0,0,0
38,12,2,0,4,0,1,0,0,1,0
63,12,1,2,6,4,1,0,0,0,1
55,16,2,0,4,5,1,0,0,1,0
45,27,2,3,1,0,0,0,0,0,1
42,35,5,0,2,0,0,0,0,4,1
28,11,2,0,0,0,1,0,0,1,0
67,15,2,0,4,7,1,0,0,1,0
61,11,1,2,9,4,0,0,0,0,1
46,12,4,1,9,0,1,1,0,2,1
34,13,2,0,0,0,1,0,0,1,0
29,15,2,0,0,0,1,0,0,1,0
24,15,2,0,0,0,1,0,0,1,0
49,31,2,3,1,0,0,0,0,0,1
25,12,2,0,0,0,1,0,0,1,0
27,9,1,0,1,0,1,0,0,0,1
43,21,2,0,0,2,1,0,0,1,0
58,10,1,2,8,4,0,0,0,0,1
29,16,2,0,0,0,1,0,0,1,0
20,7,1,0,0,0,1,0,0,0,0
21,13,2,0,0,0,1,0,0,1,0
59,15,2,0,4,5,1,0,0,1,0
44,37,5,0,1,0,0,0,0,4,1
20,11,2,0,0,0,1,0,0,1,0
49,31,2,3,2,0,0,0,0,0,1
43,31,2,1,0,1,0,0,1,1,1
41,15,2,0,4,0,1,0,0,1,0
29,14,1,0,1,0,1,0,0,0,1
39,17,2,0,0,2,1,0,0,1,0
24,15,3,0,0,0,1,0,0,2,0
28,13,1,0,1,0,0,0,0,0,1
28,13,1,0,1,0,0,0,0,0,1
22,13,1,0,0,0,1,0,0,0,0
23,10,1,0,0,0,1,0,0,0,0
30,16,2,0,0,0,1,0,0,1,0
63,12,1,2,5,4,0,0,0,0,1
63,18,3,0,4,5,1,0,0,1,0
49,31,2,3,2,0,0,0,0,0,1
45,37,5,0,2,0,1,0,0,4,1
49,14,2,0,0,0,1,0,0,1,0
30,14,2,0,0,0,1,0,0,1,0
32,10,3,0,0,0,1,0,0,1,0
29,13,1,0,1,0,1,0,0,0,1
22,13,2,0,0,0,1,0,0,1,0
49,31,2,3,2,0,0,0,0,0,1
46,34,2,1,1,1,0,0,1,1,1
23,15,2,0,0,0,0,0,0,1,0
67,19,3,0,4,5,1,0,0,1,0
57,15,2,0,4,5,1,0,0,1,0
31,14,2,0,0,0,1,0,0,1,0
53,35,2,3,0,0,0,0,0,0,1
20,11,2,0,0,0,1,0,0,1,0
32,19,2,0,0,0,1,0,0,1,0
43,14,4,1,11,0,0,1,0,2,1
56,17,2,0,4,5,0,0,0,1,0
43,36,5,0,1,0,0,0,0,4,1
40,14,2,0,4,0,1,0,0,1,0
39,17,3,0,0,0,1,0,0,1,0
50,32,2,3,1,0,0,0,0,0,1
32,15,2,0,0,0,1,0,0,1,0
46,14,4,1,11,0,0,1,0,2,1
30,14,2,0,0,0,1,0,0,1,0
44,31,2,1,0,1,1,0,1,1,1
51,14,2,0,4,5,1,0,0,1,0
23,9,1,0,0,0,0,0,0,0,1
36,14,2,0,0,2,1,0,0,1,0
52,34,2,3,2,0,0,0,0,0,1
28,15,2,0,0,0,1,0,0,1,0
38,31,5,0,0,0,0,0,0,4,1
47,29,2,3,0,0,0,0,0,0,1
57,22,2,0,4,5,1,0,0,1,0
36,15,1,0,0,2,0,0,0,0,0
33,16,2,0,0,0,1,0,0,1,0
39,18,2,0,1,0,1,0,0,1,0
47,13,4,1,10,0,1,1,0,2,1
46,20,2,0,4,0,1,0,0,1,0
44,25,2,3,2,0,1,0,0,0,1
46,13,4,1,10,0,0,1,0,2,1
41,29,2,1,1,1,0,0,1,1,1
25,16,2,0,0,0,1,0,0,1,0
40,33,5,0,0,0,0,0,0,4,1
32,11,3,0,0,0,0,0,0,1,0
46,14,4,1,11,0,0,1,0,2,1
25,12,2,0,0,0,1,0,0,1,0
49,31,2,3,1,0,0,0,0,0,1
44,37,5,0,1,0,0,0,0,4,1
38,16,3,0,0,0,1,0,0,1,0
58,10,1,2,7,4,1,0,0,0,1
60,12,1,2,5,4,0,0,0,0,1
43,31,2,1,1,1,0,0,1,1,1
56,14,2,0,4,5,1,0,0,1,0
47,29,2,3,0,0,0,0,0,0,1
69,16,1,2,10,4,0,0,0,0,1
29,14,1,0,1,0,1,0,0,0,1
21,13,2,0,0,0,1,0,0,1,0
29,14,1,0,1,0,0,0,0,0,1
40,32,5,0,1,0,1,0,0,4,1
32,18,2,0,0,0,1,0,0,1,0
28,14,3,0,0,0,1,0,0,2,0
35,22,2,1,0,1,1,0,1,1,1
28,13,1,0,1,0,1,0,0,0,1
27,10,1,0,0,0,1,0,0,0,0
47,14,4,1,11,0,0,1,0,2,1
35,21,1,1,0,0,0,0,0,0,1
64,13,1,2,7,4,1,0,0,0,1
61,11,1,2,7,4,0,0,0,0,1
27,13,1,0,0,0,1,0,0,0,0
60,12,1,2,6,4,1,0,0,0,1
32,10,1,0,0,2,1,0,0,0,0
37,15,3,0,0,0,1,0,0,1,0
66,18,2,0,4,7,1,0,0,1,0
42,16,2,0,4,0,1,0,0,1,0
51,33,2,3,0,0,0,0,0,0,1
66,12,1,2,9,4,1,0,0,0,1
29,15,2,0,0,0,1,0,0,1,0
28,15,2,0,0,0,1,0,0,1,0
36,15,2,0,0,0,1,0,0,1,0
50,32,2,3,1,0,0,0,0,0,1
45,38,5,0,0,0,0,0,0,4,1
43,31,2,1,1,1,0,0,1,1,1
35,19,3,0,0,0,1,0,0,2,0
32,16,2,0,0,0,1,0,0,1,0
30,17,2,0,0,0,1,0,0,1,0
38,30,5,0,1,0,1,0,0,4,1
36,15,2,0,0,0,1,0,0,1,0
39,27,2,1,1,1,0,0,1,1,1
66,18,3,0,4,5,1,0,0,1,0
43,36,5,0,2,0,0,0,0,4,1
41,33,5,0,1,0,1,0,0,4,1
56,8,1,2,9,4,0,0,0,0,1
52,14,4,1,11,0,0,1,0,2,1
36,15,2,0,0,0,1,0,0,1,0
25,16,3,0,0,0,1,0,0,2,0
